Train: 5968, Depart time: 05:00, Arrival time: 00:20, Total Time: 0 days 19 hours 20 mins

Train: 851, Depart time: 22:50, Arrival time: 22:40, Total Time: 0 days 23 hours 50 mins
Train: 851, Depart time: 22:50, Intermediate Arrival time: 11:10, Intemediate Station: BZA, Intermediate wait time: 20:50, Intermediate Departure time: 08:00, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 1 days 19 hours 15 mins
Train: 2509, Depart time: 11:50, Intermediate Arrival time: 14:19, Intemediate Station: BHC, Intermediate wait time: 3:12, Intermediate Departure time: 17:31, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 1 days 12 hours 37 mins
Train: 2509, Depart time: 11:50, Intermediate Arrival time: 16:35, Intemediate Station: KGP, Intermediate wait time: 21:52, Intermediate Departure time: 14:27, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 2 days 7 hours 17 mins
Train: 2509, Depart time: 11:50, Intermediate Arrival time: 18:30, Intemediate Station: HWH, Intermediate wait time: 18:10, Intermediate Departure time: 12:40, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 2 days 3 hours 35 mins
Train: 2509, Depart time: 11:50, Intermediate Arrival time: 21:46, Intemediate Station: RPH, Intermediate wait time: 11:26, Intermediate Departure time: 09:12, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 1 days 20 hours 51 mins
Train: 2509, Depart time: 11:50, Intermediate Arrival time: 00:30, Intemediate Station: MLDT, Intermediate wait time: 6:20, Intermediate Departure time: 06:50, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 2 days 15 hours 45 mins
Train: 2509, Depart time: 11:50, Intermediate Arrival time: 02:27, Intemediate Station: KNE, Intermediate wait time: 1:24, Intermediate Departure time: 03:51, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 2 days 10 hours 49 mins
Train: 2509, Depart time: 11:50, Intermediate Arrival time: 04:15, Intemediate Station: NJP, Intermediate wait time: 22:30, Intermediate Departure time: 02:45, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 3 days 7 hours 55 mins
Train: 2509, Depart time: 11:50, Intermediate Arrival time: 08:20, Intemediate Station: NBQ, Intermediate wait time: 14:42, Intermediate Departure time: 23:02, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 4 days 0 hours 7 mins
Train: 2509, Depart time: 11:50, Intermediate Arrival time: 11:25, Intemediate Station: KYQ, Intermediate wait time: 9:5, Intermediate Departure time: 20:30, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 3 days 18 hours 30 mins
Train: 2510, Depart time: 19:15, Intermediate Arrival time: 07:50, Intemediate Station: BZA, Intermediate wait time: 3:30, Intermediate Departure time: 11:20, Second Train: 851, Destination Arrival time: 22:40, Total Time: 1 days 6 hours 55 mins
Train: 2853, Depart time: 23:35, Intermediate Arrival time: 06:10, Intemediate Station: VSKP, Intermediate wait time: 23:20, Intermediate Departure time: 05:30, Second Train: 851, Destination Arrival time: 22:40, Total Time: 1 days 22 hours 25 mins
Train: 2853, Depart time: 23:35, Intermediate Arrival time: 12:10, Intemediate Station: BZA, Intermediate wait time: 23:10, Intermediate Departure time: 11:20, Second Train: 851, Destination Arrival time: 22:40, Total Time: 1 days 22 hours 15 mins
Train: 2853, Depart time: 23:35, Intermediate Arrival time: 12:10, Intemediate Station: BZA, Intermediate wait time: 19:50, Intermediate Departure time: 08:00, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 1 days 17 hours 30 mins
Train: 2853, Depart time: 23:35, Intermediate Arrival time: 20:18, Intemediate Station: KPD, Intermediate wait time: 20:59, Intermediate Departure time: 17:17, Second Train: 2510, Destination Arrival time: 21:15, Total Time: 1 days 18 hours 39 mins
Train: 2882, Depart time: 22:15, Intermediate Arrival time: 00:45, Intemediate Station: BAM, Intermediate wait time: 0:27, Intermediate Departure time: 01:12, Second Train: 851, Destination Arrival time: 22:40, Total Time: 1 days 0 hours 52 mins
Train: 2882, Depart time: 22:15, Intermediate Arrival time: 04:40, Intemediate Station: VSKP, Intermediate wait time: 0:50, Intermediate Departure time: 05:30, Second Train: 851, Destination Arrival time: 22:40, Total Time: 1 days 1 hours 15 mins
